d,N,hubble,rep,R_dS,H2,n_causal_pairs,rho_eff,b1_mean,b1_std,b1_median,s_bdg,b1_mean_scaled,b1_std_scaled,s_bdg_scaled
4,128,2.0,0,48.0,4.0,64,0.5,0.8125,2.5456764818020376,1.0,104.0,0.57452425971407,1.8000651029893338,73.53910524340095
4,128,2.0,1,48.0,4.0,30,0.234375,0.765625,0.5075119302784911,1.0,98.0,0.3706566093050067,0.24569815674627196,47.44404599104086
4,128,2.0,2,48.0,4.0,13,0.1015625,0.8984375,0.3269136867641825,1.0,115.0,0.28632189651521983,0.10418370425444536,36.64920275394814
4,128,2.0,3,48.0,4.0,10,0.078125,0.921875,0.2960514893983815,1.0,118.0,0.25767189584470235,0.08274890689185492,32.9820026681219
4,128,2.0,4,48.0,4.0,18,0.140625,0.859375,0.4095419506900361,1.0,110.0,0.322265625,0.15357823150876354,41.25
4,128,2.0,5,48.0,4.0,20,0.15625,0.84375,0.38400642898264087,1.0,108.0,0.3335214719708838,0.15179186896660507,42.69074841227312
4,128,2.0,6,48.0,4.0,33,0.2578125,0.8203125,0.8425555781927683,1.0,105.0,0.41651564086268356,0.4278096172048942,53.314002030423495
4,128,2.0,7,48.0,4.0,9,0.0703125,0.9296875,0.25567294018677456,1.0,119.0,0.24652062586288812,0.06779552616448906,31.55464011044968
4,128,2.0,8,48.0,4.0,16,0.125,0.875,0.33071891388307384,1.0,112.0,0.30935921676911454,0.11692679333668568,39.59797974644666
4,128,2.0,9,48.0,4.0,10,0.078125,0.921875,0.26836818808308854,1.0,118.0,0.25767189584470235,0.07501118894402937,32.9820026681219
4,128,2.0,10,48.0,4.0,43,0.3359375,0.6640625,0.7101644148320514,1.0,85.0,0.38489139263531974,0.4116121157643372,49.26609825732093
4,128,2.0,11,48.0,4.0,12,0.09375,0.90625,0.2914805954090255,1.0,116.0,0.2774812599246569,0.08924734108434268,35.51760127035608
4,128,2.0,12,48.0,4.0,13,0.1015625,0.8984375,0.3499965122594081,1.0,115.0,0.28632189651521983,0.11153994035625862,36.64920275394814
4,128,2.0,13,48.0,4.0,11,0.0859375,0.9140625,0.280271736166439,1.0,117.0,0.26795832221647525,0.08216193552175874,34.29866524370883
4,128,2.0,14,48.0,4.0,18,0.140625,0.859375,0.3476343040826092,1.0,110.0,0.322265625,0.13036286403097846,41.25
4,128,2.0,15,48.0,4.0,5,0.0390625,0.9609375,0.19374369949433196,1.0,123.0,0.18992194931675327,0.03829196079433136,24.31000951254442
