d,N,p_frw,rep,t_center,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
2,128,0.5,6,0.4,1.25,1276,0.21875,10.0,0.078125,12.8,6.523802572120037,0.5096720759468778,0.1640625,2.1437544908268538
2,128,0.5,7,0.4,1.25,1406,0.2265625,11.0,0.0859375,11.636363636363637,6.732184938754044,0.5785471431741755,0.1484375,2.1895893630689964
2,128,0.5,0,0.6,0.8333333333333334,1068,0.2421875,9.0,0.0703125,14.222222222222221,7.913108362117714,0.5563904317114018,0.1875,2.0000285182415722
2,128,0.5,1,0.6,0.8333333333333334,1126,0.2734375,8.0,0.0625,16.0,8.74642784226795,0.5466517401417469,0.234375,1.8942796323918007
2,128,0.5,2,0.6,0.8333333333333334,1059,0.2421875,8.0,0.0625,16.0,5.979130371550699,0.3736956482219187,0.1953125,2.0027251561612074
2,128,0.5,3,0.6,0.8333333333333334,987,0.265625,8.0,0.0625,16.0,6.708203932499369,0.4192627457812106,0.1875,1.976061649143028
2,128,0.5,4,0.6,0.8333333333333334,1103,0.234375,9.0,0.0703125,14.222222222222221,5.8267158231675085,0.40969095631646546,0.1640625,2.0915409521805626
2,128,0.5,5,0.6,0.8333333333333334,1137,0.25,9.0,0.0703125,14.222222222222221,7.269078770576056,0.511107101056129,0.1640625,2.023275334173377
2,128,0.5,6,0.6,0.8333333333333334,1080,0.25,9.0,0.0703125,14.222222222222221,5.472715713788778,0.3848003236257735,0.1640625,2.101240188823136
2,128,0.5,7,0.6,0.8333333333333334,1155,0.2421875,8.0,0.0625,16.0,4.0,0.25,0.1640625,2.043383348187085
2,128,0.5,0,0.8,0.625,954,0.28125,8.0,0.0625,16.0,6.928203230275509,0.4330127018922193,0.1796875,1.9660812733490982
2,128,0.5,1,0.8,0.625,858,0.265625,8.0,0.0625,16.0,6.708203932499369,0.4192627457812106,0.1953125,1.9768467174766167
2,128,0.5,2,0.8,0.625,955,0.2578125,8.0,0.0625,16.0,7.416198487095663,0.46351240544347894,0.1875,1.9422175425067825
2,128,0.5,3,0.8,0.625,1005,0.265625,9.0,0.0703125,14.222222222222221,7.5096645549848,0.5280232890223688,0.1640625,2.009830300669922
2,128,0.5,4,0.8,0.625,975,0.265625,8.0,0.0625,16.0,5.385164807134504,0.3365728004459065,0.1640625,2.0028918558618862
2,128,0.5,5,0.8,0.625,965,0.2578125,7.0,0.0546875,18.285714285714285,5.146823867043377,0.2814669302289347,0.203125,1.903364751699333
2,128,0.5,6,0.8,0.625,963,0.2734375,7.0,0.0546875,18.285714285714285,5.5217565971679115,0.3019710639076202,0.1796875,1.889562497359742
2,128,0.5,7,0.8,0.625,894,0.265625,7.0,0.0546875,18.285714285714285,6.922309394048981,0.37856379498705367,0.203125,1.8551658747270725
2,128,1.0,0,0.2,5.0,3530,0.1640625,14.0,0.109375,9.142857142857142,3.3350335799796436,0.3647692978102735,0.1171875,2.5626537352779692
2,128,1.0,1,0.2,5.0,3309,0.15625,14.0,0.109375,9.142857142857142,3.3350335799796436,0.3647692978102735,0.109375,2.553952863910045
2,128,1.0,2,0.2,5.0,3377,0.1484375,17.0,0.1328125,7.529411764705882,3.0701149060470327,0.4077496359593715,0.09375,2.740457100327117
2,128,1.0,3,0.2,5.0,3094,0.15625,15.0,0.1171875,8.533333333333333,3.6307330144506937,0.4254765251309407,0.109375,2.596374761915445
2,128,1.0,4,0.2,5.0,3520,0.1484375,16.0,0.125,8.0,2.57390753524675,0.3217384419058438,0.1171875,2.7222753820555585
2,128,1.0,5,0.2,5.0,3706,0.125,15.0,0.1171875,8.533333333333333,2.679966832298904,0.3140586131600278,0.1015625,2.6575527090245656
2,128,1.0,6,0.2,5.0,3360,0.1484375,14.0,0.109375,9.142857142857142,2.996596709057576,0.3277527650531724,0.109375,2.576710469312168
