N,lambda,action_field,beta_entropy,entropy_sign,action_sign,focus_lor,mean_score_focus,mean_score_kr,win_rate_focus_vs_kr,lambda_cross_mean_focus_vs_kr,mean_f5_focus,mean_f5_kr,win_rate_f5_focus_vs_kr,agreement_rate_score_vs_f5
28,20.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-40.31158612356915,15.507035029892556,0.75,2.9886106960878567,69.58265006732223,95.29726375527828,1.0,0.75
36,0.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-48.29322686030814,-64.32722150365669,0.0,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.0
36,2.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-51.0987824158637,-58.848054836990016,0.125,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.125
36,4.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-53.90433797141925,-53.368888170323345,0.625,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.625
36,6.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-56.70989352697482,-47.88972150365668,0.625,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.625
36,8.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-59.51544908253037,-42.410554836990016,0.75,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.75
36,10.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-62.32100463808592,-36.93138817032335,0.75,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.75
36,12.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-65.12656019364148,-31.452221503656688,0.75,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.75
36,14.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-67.93211574919704,-25.973054836990016,0.875,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.875
36,16.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-70.7376713047526,-20.493888170323352,0.875,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.875
36,18.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-73.54322686030815,-15.014721503656682,0.875,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.875
36,20.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-76.3487824158637,-9.535554836990014,0.875,3.8707380195175043,96.39804249903817,135.30411037049961,1.0,0.875
16,0.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-15.977373306463498,-18.989846544100253,0.0,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.0
16,2.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-15.362032695679376,-17.056204162026575,0.25,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.25
16,4.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-14.746692084895253,-15.12256177995289,0.5,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.5
16,6.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-14.131351474111131,-13.18891939787921,0.5,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.5
16,8.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-13.516010863327008,-11.25527701580553,0.625,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.625
16,10.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-12.900670252542884,-9.321634633731849,0.625,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.625
16,12.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-12.28532964175876,-7.387992251658169,0.625,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.625
16,14.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-11.66998903097464,-5.454349869584487,0.75,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.75
16,16.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-11.054648420190517,-3.5207074875108066,0.75,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.75
16,18.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-10.439307809406394,-1.5870651054371265,0.75,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.75
16,20.0,bd_d4_trunc_norm,1.0,-1.0,-1.0,Lor2D,-9.82396719862227,0.34657727663655447,0.75,4.5702331639742315,31.810854423610923,41.67606865993212,1.0,0.75
